price,sqft,Bedrooms,Baths,Age,Occupancy,Pool,Fireplace,Waterfront,DOM
226000,3368,4,2,1,1,No,1,0,135
105800,2786,3,2,25,1,No,0,0,23
209100,3456,4,3,1,2,No,0,0,173
120000,2222,4,2,35,2,No,0,0,150
163500,2517,4,2,8,1,No,1,0,15
258000,4020,4,3,13,1,No,1,0,114
119900,1152,2,1,45,2,No,0,0,17
121300,1977,3,2,1,2,No,0,0,133
120000,3329,3,2,35,1,No,0,0,9
123400,2446,3,2,45,1,No,0,0,70
,1714,3,2,13,1,No,1,0,9
154000,3250,3,2,25,2,No,1,0,34
68000,1342,3,1,35,2,No,0,0,380
141000,2703,3,2,25,1,No,1,0,39
60000,1336,3,1,35,2,No,0,0,42
121900,2200,3,2,25,1,No,1,0,26
135000,2135,3,2,25,2,No,1,0,46
118500,2550,4,2,35,1,No,0,0,124
,2156,3,2,25,1,No,1,0,19
138900,2083,3,2,8,1,No,1,0,61
85000,1379,3,1,45,3,No,0,0,91
64500,1243,2,2,25,2,No,1,0,20
230000,3168,4,2,8,1,No,0,0,30
300000,3611,5,3,1,2,No,1,0,294
154000,2235,4,2,5,1,No,1,0,18
143000,2136,3,2,8,1,No,1,0,103
31900,1993,3,2,80,2,No,0,0,18
124900,1921,3,2,1,2,No,1,0,155
104000,2095,3,2,25,1,No,1,0,3
245500,3953,4,2,2,1,No,1,0,127
126000,1367,3,2,5,1,No,1,0,148
277900,3840,4,2,1,2,No,1,0,11
617000,5673,4,4,25,1,Yes,1,1,46
85000,1300,3,1,25,1,No,0,0,199
236000,2537,3,2,2,1,No,1,1,161
,3476,4,2,25,1,No,1,0,14
109900,1858,3,2,25,2,No,1,0,349
103000,2447,3,2,35,2,No,1,0,92
183500,3810,4,3,35,1,No,0,0,3
146000,3947,4,2,25,1,Yes,1,0,105
137500,1937,3,2,2,1,No,1,0,25
98500,2296,3,2,35,3,No,0,0,60
113000,1696,3,2,2,1,No,1,0,20
146715,2467,3,2,1,2,No,0,0,0
102000,2783,2,2,18,1,No,1,0,50
139900,2000,3,2,1,2,No,1,1,333
143000,1613,3,2,8,1,No,1,0,31
103000,2246,3,2,25,2,No,1,0,9
125000,1912,3,2,45,1,No,0,0,8
130000,1980,3,2,2,2,No,0,0,460
127000,2011,3,2,25,1,No,1,0,18
235500,2970,4,2,13,1,No,1,0,21
140000,2238,3,2,18,1,No,1,0,3
62241,1615,3,2,25,2,No,0,0,2
95900,1088,2,1,18,3,No,0,0,79
60000,876,3,1,45,2,No,0,0,46
152400,2842,4,2,1,2,No,0,0,97
165000,1965,3,2,63,2,Yes,0,0,210
204000,3222,4,2,8,2,No,1,0,74
72500,1582,3,1,35,1,No,0,0,34
127000,2412,3,2,25,2,No,1,0,27
40101,850,2,1,63,2,No,0,0,4
66000,1589,3,2,25,2,No,0,0,11
75000,915,3,1,25,2,Yes,0,0,134
83500,1442,3,2,8,2,No,0,0,26
164900,1600,3,3,2,3,Yes,0,0,5
338500,3777,4,3,1,2,No,1,0,95
430000,4625,5,3,5,1,No,1,0,11
124000,2989,3,2,45,1,No,0,0,50
344900,3990,4,2,13,1,No,1,0,3
299900,2982,3,3,2,1,No,1,0,7
177500,3020,3,2,13,1,No,1,0,48
87500,1463,4,2,25,3,No,1,0,25
148900,2171,4,2,35,2,No,1,0,49
210000,4046,3,3,35,1,No,0,0,185
167000,2329,4,2,2,1,No,1,0,23
285500,3670,4,3,13,1,Yes,1,0,13
74000,1200,2,2,18,1,No,1,0,95
216000,2847,4,3,1,2,No,1,0,123
290000,3125,4,2,8,2,No,1,0,153
74900,1710,3,3,45,2,No,0,0,7
165000,3251,3,2,2,1,No,0,0,5
95000,2041,3,2,45,3,No,0,0,42
186900,2678,3,2,8,1,No,1,0,44
140000,1976,2,2,2,2,No,1,1,27
118000,1933,3,2,2,1,No,0,0,15
144500,2026,3,2,5,1,No,0,0,0
160000,1400,2,2,1,2,No,0,1,106
163600,2717,4,2,1,2,No,0,0,0
121000,1517,4,2,63,1,Yes,0,0,1
58500,1562,2,1,35,2,No,0,0,83
240000,2505,4,2,8,1,No,1,0,15
114500,1874,3,2,8,1,No,1,0,48
177000,2353,4,2,18,2,Yes,1,0,49
369900,4834,4,4,1,2,No,1,0,400
192500,2681,3,2,8,1,No,1,1,56
205500,2947,4,3,1,1,No,0,1,60
110800,1937,3,2,1,2,No,0,0,184
146400,2444,3,2,8,1,No,1,0,42
62500,1763,3,1,45,2,No,0,0,17
173000,2532,4,2,63,2,No,0,0,1
89000,1358,3,2,18,2,No,0,0,39
143000,2452,3,2,18,1,No,1,0,7
119900,2457,4,2,25,1,No,0,0,8
84000,1631,4,2,5,2,No,0,0,36
130700,1924,3,2,1,2,No,1,0,159
120000,2056,3,1,63,1,No,1,0,100
40000,1494,4,1,18,2,No,0,0,26
150000,2000,3,1,80,3,No,0,0,0
149900,1310,2,2,1,3,Yes,0,0,0
174000,2768,4,2,2,1,No,1,0,16
152500,2010,3,2,1,2,No,1,1,35
122900,2570,3,2,13,1,Yes,0,0,7
114900,1805,3,2,2,1,No,0,0,57
120500,1977,3,2,2,1,No,1,0,43
249900,2949,4,3,2,1,No,1,1,27
160000,2766,3,2,63,1,No,0,0,89
135000,3029,3,2,25,1,No,1,0,56
116500,1742,2,1,63,3,No,1,0,17
182500,3171,4,2,18,1,No,1,0,216
102800,1670,3,2,1,2,No,0,0,0
52500,1425,2,1,35,1,No,0,0,28
119637,2830,4,2,35,2,No,0,0,36
180221,2816,4,3,1,2,No,0,0,0
162900,2010,3,2,1,2,No,0,0,2
158000,2376,3,2,1,2,No,1,0,34
172500,1472,3,2,63,2,No,1,0,16
162750,3657,4,2,8,2,No,1,0,7
113700,2016,3,2,5,1,No,0,0,5
95000,1741,3,2,2,2,No,0,0,175
92000,1350,3,2,8,2,No,1,0,74
111000,1487,3,2,13,2,No,1,0,55
94900,1088,2,1,18,3,No,0,0,15
125000,3096,4,2,18,2,No,1,0,28
53000,1139,2,1,45,2,No,0,0,31
95700,1485,3,2,25,2,No,1,0,89
115900,2554,3,2,45,1,No,1,0,162
295000,3731,4,3,18,1,No,1,1,77
225000,2450,3,2,8,1,No,1,0,80
122000,2315,3,2,13,2,No,1,0,21
120000,1438,2,1,45,1,No,0,0,30
119400,1996,3,2,18,1,No,1,0,17
132000,2616,3,2,45,1,No,0,0,97
239900,2825,4,3,2,1,No,1,0,116
137500,1965,3,2,25,1,No,1,0,11
99000,1491,3,2,2,1,No,0,0,34
336000,4133,4,3,13,1,No,1,1,57
126000,1931,4,2,25,2,No,0,0,33
170000,2076,4,3,13,1,No,0,0,107
128000,1958,3,2,2,1,No,1,0,49
226900,2879,3,2,1,2,No,1,0,88
125000,1520,2,2,18,1,No,0,0,33
113857,2057,3,2,25,1,No,1,0,104
50000,2191,3,1,45,2,No,0,0,32
171500,2216,3,2,5,1,No,1,0,11
99000,1467,3,2,18,1,No,1,0,78
382000,3942,5,4,5,2,No,1,1,50
142500,2171,3,2,2,1,No,1,0,33
114900,1918,3,2,2,1,No,0,0,49
82000,1256,3,2,8,1,No,0,0,4
229900,3060,4,3,2,1,No,1,0,199
95000,2332,3,2,8,2,No,0,0,37
155536,2348,3,2,2,1,No,1,0,44
84000,1040,3,2,5,1,No,0,0,87
144500,2122,4,2,2,1,No,0,0,110
125000,1882,3,2,5,2,No,1,0,77
160000,2410,3,2,2,3,No,0,0,72
59000,1744,4,2,25,3,No,0,0,28
155615,2842,4,2,1,2,No,0,0,80
40001,2334,2,1,35,2,No,0,0,92
96000,1582,3,2,8,2,No,1,0,31
260000,3052,3,2,8,1,No,1,1,33
290000,1844,4,2,35,1,No,0,1,728
675000,5858,4,3,8,2,No,1,1,157
118000,2454,3,2,18,1,No,1,0,12
335000,3060,3,2,45,1,No,0,0,7
152500,1765,3,2,25,2,No,0,0,15
131000,2330,3,2,8,1,No,1,0,262
124900,2272,3,2,35,2,No,1,0,34
95900,1088,2,1,18,3,No,0,0,18
62500,1440,2,2,25,3,No,1,0,113
142900,1992,3,2,8,1,No,1,0,70
114900,3195,3,2,25,2,Yes,1,0,63
114500,2103,3,2,2,2,No,1,0,18
141900,2082,3,2,1,2,No,0,0,237
1575000,7897,4,4,1,1,Yes,1,1,7
138000,2481,3,2,35,1,No,0,0,55
130000,2468,3,2,25,1,No,1,0,30
126500,1954,4,2,1,2,No,0,1,139
82500,2277,4,2,35,2,No,1,0,22
206500,2132,3,2,13,1,No,1,0,60
79900,1511,3,1,25,1,No,0,0,6
120500,2055,3,2,25,2,No,0,0,38
137900,3150,4,2,25,1,No,1,0,33
87000,1377,3,2,63,2,No,0,0,15
176900,1833,3,2,1,2,No,0,1,319
136900,2418,4,2,1,2,No,0,0,36
102500,1800,3,2,25,2,No,0,0,35
95900,1088,2,1,18,3,No,0,0,2
177500,2636,3,2,8,1,No,1,0,8
34000,662,2,1,25,2,No,0,1,323
255000,3074,3,2,8,1,No,0,1,14
60000,1163,2,1,25,1,No,0,0,6
142500,2212,3,2,5,1,No,1,0,56
168000,1601,3,2,1,2,No,1,0,168
107900,1707,3,2,2,1,No,1,0,6
445500,4559,4,4,1,2,No,1,1,38
87000,1059,2,2,18,3,Yes,1,0,20
64000,1811,3,2,8,2,No,0,0,15
95900,1088,2,1,18,3,No,0,0,6
30000,1241,3,1,45,2,No,0,0,28
31000,1590,3,1,45,3,No,1,0,171
150900,1949,3,2,1,2,No,1,0,0
98300,1887,3,2,45,2,No,0,0,35
169900,2667,3,2,1,2,No,1,1,108
248900,3206,4,2,13,1,No,1,0,101
206000,2342,3,2,2,2,No,1,0,27
392250,3535,4,3,2,1,No,1,0,147
226900,3498,3,2,2,1,No,1,0,157
116000,2303,3,2,25,1,No,1,0,44
43500,1363,2,1,63,2,No,0,0,161
56000,1495,2,2,25,2,No,1,0,14
100000,1453,3,2,18,1,No,0,0,8
219000,4805,4,2,25,1,Yes,1,1,59
112900,1272,3,2,5,1,No,0,0,9
165330,2459,3,2,1,2,No,0,0,0
70500,1376,3,1,35,2,No,0,0,139
245000,3002,4,4,5,1,No,1,0,109
122570,2853,5,3,25,1,No,1,0,34
130900,2062,3,2,5,1,Yes,1,1,18
112400,2388,3,2,45,1,No,0,0,58
95900,1088,2,1,18,3,No,0,0,30
98900,1228,2,2,25,2,No,1,0,135
95900,1088,2,1,18,2,No,0,0,17
74900,1734,2,2,18,1,No,1,0,10
90000,1628,2,1,25,1,No,0,0,149
182000,2911,3,2,2,1,No,1,0,157
66000,741,1,1,18,2,Yes,0,0,23
135000,2379,3,2,63,1,No,0,0,219
95900,1088,2,1,18,3,No,0,0,20
65500,1277,3,2,5,2,No,0,0,21
175000,2725,3,2,5,2,No,1,1,628
95900,1088,2,1,18,3,No,0,0,26
142000,2545,3,2,35,1,No,0,0,92
136900,2240,4,2,5,1,No,1,0,91
60150,1210,2,2,18,2,No,1,0,216
184300,3013,4,2,25,1,No,1,0,122
